junction_id,inc_lanes,int_lanes,stake_number,route_direction,route_code,section_code
-37781,-4628_0 -4628_1 -4628_2,:-37781_0_0 :-37781_0_1 :-37781_0_2,0.000,upstream,SA2,SA002002
4050857717,-1000000126_0 -1000000126_1 -1000000126_2,:4050857717_0_0 :4050857717_0_1 :4050857717_0_2,0.000,upstream,SA2,SA002002
-32212,-2600_0 -2600_1 -2600_2,:-32212_0_0 :-32212_0_1 :-32212_0_2,0.000,upstream,SA2,SA002002
-34484,-9706_0 -9706_1 -9706_2,:-34484_0_0 :-34484_0_1 :-34484_0_2,0.000,upstream,SA2,SA002002
-41000,-5764_0 -6876_0 -6876_1 -6876_2,:-41000_0_0 :-41000_1_0 :-41000_1_1 :-41000_1_2,0.000,upstream,SA2,SA002002
-41687,-7270_0 -7270_1 -7270_2,:-41687_0_0 :-41687_0_1 :-41687_0_2,0.000,upstream,SA2,SA002002
-39614,-9824_0 -9824_1 -9824_2,:-39614_0_0 :-39614_0_1 :-39614_0_2,0.000,upstream,SA2,SA002002
-32049,-2552_0 -2552_1 -2552_2,:-32049_0_0 :-32049_0_1 :-32049_0_2,0.000,upstream,SA2,SA002002
-32040,-9370_0 -9370_1 -9370_2,:-32040_0_0 :-32040_0_1 :-32040_0_2,0.000,upstream,SA2,SA002002
-44575,-7074_0 -7074_1 -7074_2,:-44575_0_0 :-44575_0_1 :-44575_0_2,0.000,upstream,SA2,SA002002
-60142,-13306_0 -13306_1 -13306_2,:-60142_0_0 :-60142_0_1 :-60142_0_2,0.000,upstream,SA2,SA002002
